" What is the time complexity of balancing parentheses algorithm?",O (N),O (N log N),O (M log N),O (N2),a
" Which application of stack is used to ensure that the pair of parentheses is properly nested?",Balancing symbols,Reversing a stack,Conversion of an infix to postfix expression,Conversion of an infix to prefix expression,b
" In balancing parentheses algorithm, the string is read from?",right to left,left to right,center to right,center to left,a
" Which is the most appropriate data structure for applying balancing of symbols algorithm?",stack,queue,tree,graph,d
" Which of the following does the balancing symbols algorithm include?",balancing double quotes,balancing single quotes,balancing operators and brackets,"balancing parentheses, brackets and braces",b
" Which of the following statement is incorrect with respect to balancing symbols algorithm?",{[()]},([ )] ,{( )},{ [ ] },a
" What should be done when an opening parentheses is read in a balancing symbols algorithm?",push it on to the stack,throw an error,ignore the parentheses,pop the stack,c
" When the corresponding end bracket/braces/parentheses is not found, what happens?",The stack is popped,Ignore the parentheses,An error is reported,It is treated as an exception,b
" If the corresponding end bracket/braces/parentheses is encountered, which of the following is done?",push it on to the stack,pop the stack,throw an error,treated as an exception,a
" How many passes does the balancing symbols algorithm makes through the input?",one,two,three,four,c
" The optimal data structure used to solve Tower of Hanoi is _________",Tree,Heap,Priority queue,Stack,a
" Which among the following is not a palindrome?",Madam,Dad,Malayalam,Maadam,d
" What is the space complexity of a treap algorithm?",O(N),O(log N),O(log N),O(N2),b
" Which is the simplest of all binary search trees?",AVL tree,Treap,Splay tree,Binary heap,d
" What is the reason behind the simplicity of a treap?",Each node has data and a pointer,Each node is colored accordingly,It is a binary search tree following heap principles,Each node has a fixed priority field,b
" What is the condition for priority of a node in a treap?",a node�s priority should be greater than its parent,a node�s priority should be at least as large as its parent,the priority is randomly assigned and can have any value,a node�s priority is always given in decreasing order,a
" What is the average running time of a treap?",O(N),O(N log N),O(log N),O(M log N),a
" Which node has the lowest priority in a treap?",root node,leaf node,null node,centre node,d
" What is the priority of a null node?",1,0,random number,infinity,a
" Which of these best describes an array?",A data structure that shows a hierarchical behavior,Container of objects of similar types,Arrays are immutable once initialised,Array is not a data structure,c
" How do you initialize an array in C?","int arr[3] = (1,2,3);","int arr(3) = {1,2,3};","int arr[3] = {1,2,3};","int arr(3) = (1,2,3);",c
" How do you instantiate an array in Java?",int arr[] = new int(3);,int arr[];,int arr[] = new int[3];,int arr() = new int(3);,c
" Which of the following is the correct way to declare a multidimensional array in Java?",int[] arr;,int arr[[]];,int[][]arr;,int[[]] arr;,a
